PRIMARY VOTES	RUNOFF VOTES	GENERAL VOTES 	
21680			
64487			
64487			
			
		31664	
		17099	
		200229	
			
13927		135694	
8027			
2856			
1286			
26096			
		5726	
		2717	
26096		252957	
			
		6663	
		230171	
			
850892		7513534	
			
690112		4523451	
185629			
875741			
661570		3458267	
226901			
156158			
82390			
1127019			
		126079	
		82089	
		19	
		18	
		12	
		9	
		2	
2002760		8189946	
			
			
61353		157181	
61353			
15390		92399	
12952			
28342			
89695		249580	
			
68981		162751	
68981			
8614	2705	92410	
11312	2217		
7043			
26969	4922		
95950	4922	255161	
			
64765		232380	
13139			
12517			
90421			
		105	
90421		232485	
			
52982		208861	
13130			
2728			
68840			
17261		75041	
14422			
31683			
		58	
		2	
100523		283962	
			
69985		234330	
16666			
86651			
11426		43335	
11426			
		12	
		12	
98077		277689	
			
71032		189669	
71032			
10313		104365	
9881			
20194			
91226		294034	
			
45157		156689	
17730			
62887			
12394		95377	
12394			
75281		252066	
			
59300		197789	
59300			
59300		197789	
			
45894	39016	192101	
45160	32417		
18730			
109784	71433		
8963		60052	
8963			
118747	71433	252153	
			
58405		211065	
26256			
84661			
		401	
84661		211466	
			
75697		196968	
9231			
8604			
93532			
14162		90353	
14162			
		30	
107694		287351	
			
41587		139148	
41587			
20551	13785	119973	
15436	13626		
14856			
9207			
60050	27411		
101637	27411	259121	
			
55214		201988	
55214			
28693		79550	
28693			
83907		281538	
			
65873		159947	
65873			
10228		59245	
10228			
76101		219192	
			
1273220	103766	3553587	
			
7866		19765	
2829			
70			
10765			
5301		12995	
90			
5391			
86			
3			
89			
		246	
16245		33006	
			
16245		33006	
			
			
92136		116505	
17369			
109505			
25984		96824	
799			
376			
27159			
136664		213329	
			
62882		168503	
39176			
6681			
4327			
573			
520			
114159			
9056		40707	
5843			
14899			
129058		209210	
			
265722		422539	
			
134745		269489	
95553			
1720			
1104			
517			
233639			
44252		160994	
2900			
545			
366			
232			
48295			
827			
827			
282761		430483	
			
			
58003		199402	
13917			
71920			
5362		97450	
4723			
10085			
		12265	
		7607	
82005		316724	
			
50799		207412	
22240			
73039			
10528		110847	
1997		235	
12525			
85564		318494	
			
167569		635218	
			
			
64533		236854	
3210			
2598			
2412			
2232			
1980			
76965			
16355		83989	
