PRIMARY	RUNOFF	GENERAL
78200		770739
81500		
29326		52036
34686		
53972		531858
89777		568585
96		
33914		
60419		85178
45432		
97570		
55072		691824
8916428		5286505
615640		3812982
438840		
		931
		426
789540		6615447
83717		104966
59872		
6497		40758
7847		
6845		
8762		
81230		
		1583
72346		135505
10589		802399
5780		
99583		
84732		23400
60573		
56399		
43628		395744
58824		79297
85529		
94577		
25648		10562
5168		
9281		
7572		
65770		
39909		432929
90223		147045
43118		
86238		
2865		32697
8944		
1256		
48559		
73896		268075
7096		86518
2596		
9560		
8693		
41952		
92480		199747
1511		
5151		
33224		
		25
11264		708237
59184		553527
4909		
70757		
79887		64249
80363		
77364		
79315		582011
21904		93940
5084		
8210		
370		
807		
72484		
73713		17403
4929		
8564		
7689		
50426		
67910		125038
86496		561061
22582		
59056		91403
17097		
43133		259534
68383		960598
4124		
9509		
5283		
32095		
90588		600716
1883		
		67
94891		
505807		790686
226494		2597621
40621		758173
1282		
1932		
9685		
13		
22013		
70674		48847
5771		
5983		
61		
82312		
		2107
		8756
		922
79337		505859
909		402229
118		
6222		
8830		804609
36		
2278		
		271
2918		704292
26604		846671
795		
47473		
5414		306796
30		
9959		
		1967
		407
30456		959722
81659		271880
63		
18389		
50869		80863
43		
30381		
		11
38544		496990
28798		801660
404		
36128		
8256		34156
6229		
23		
14375		
		9932
		7672
		92
77501		210924
421726		7033353
80270		748673
10660		
57603		25463
59505		
		1435
51223		155486
44834		267679
86962		
77794		208376
68971		
		7054
27399		645581
88136		982308
71214		
43687		92879
14508		
2740		
7933		
46171		
		1038
86901		519340
23266		613558
94691		
4853		36799
8418		
2958		
6261		
46918		
		3239
14889		511805
119992		982946
40845		35482
49640		
1633		
602847		
103673		303522
36043		66357
47340		
53444		
12779		211824
70396		359349
62756		
3696		
5985		
31278		
		5675
		699
62465		999451
		60900
		105656
25163		93694
33762		
64340		
53930		925826
		23016
		251190
842388		4892731
		816478
		95063
		198217
		462247
		943272
		813203
		640669
63733		903942
288		
25662		
54617		899721
89041		
67105		
		96170
		299
809148		967854
89708		750588
95108		
76492		58005
71937		
		82071
86193		440594
53293		925173
89895		
33614		45557
26773		
37254		812495
907255		486936
784581		833918
289618		
20513		
90891		
5554		
4692		
7045		
9948		
6140		
5503		
4939		
8199		
1806		
1802		
7066		
4347		
2265		
5603		
146557		
650920		371596
5830		
3310		
4083		
1132		
2588		
4681		
7842		
7642		
301		
884204		
		186
		510
606037		7496612
79719		843786
85296		
91048		82875
36477		
48843		
30808		
		597
62812		656891
84640		192451
25569		
47559		
5456		80942
3444		
4547		
87284		
		343
34494		687747
94629		210651
35587		
55001		
8437		
2034		
9186		
7606		
950		
38798		
1469		17727
1333		
9428		
9742		
8351		
215		
997		
218		
55939		
		286
101925		957984
80684		594617
58521		
3900		
59466		
9309		95443
8408		
		5375
87140		496303
75416		969536
85793		
		7660
		569
95427		201564
86718		879500
49796		
31949		
77102		94090
17250		
49432		
		145
98064		618783
13392		815710
99837		
		3816
39295		772413
44521		728712
3495		
10743		
2560		99472
9507		
6790		
78611		
		387
83409		760231
120424		9508301
917965		7300396
40585		
728759		
34375		224957
24942		
540		
50205		
		9640
305814		5445980
19448		318082
162		
69082		
143		
468		
		16453
		587
46365		706551
60588		664738
226		
36433		
769		
555		
		2622
49628		147655
37584		858556
720		
56758		
698		
532		
		1948
21199		221442
40065		251351
534		
20227		
800		
341		
842		
		2210
50275		436118
22045		139460
549		
55194		
473		
722		
		6138
23631		529548
94390		533083
978		
26689		
7056		39228
70		
6529		
		532
27286		133754
70805		475801
350		
98592		
250		
490		
		2427
92318		795329
94926		857313
282		
75844		
303		
605		
		28939
		367
65942		497455
86235		958440
75037		
299		
32381		
7707		65426
35		
7873		
		705
209415		499063
58020		291734
930		
38170		
91389		69829
362		
63854		
		81408
		786
34861		237404
184736		7862871
661643		9429533
55		
745625		
490604		2721198
126058		
183475		
		83
6704638		6920459
37569		810926
21664		
27912		34123
24249		
71993		852368
13214		963004
37498		
21620		71350
77350		
20723		872978
21307		171231
66302		
41662		47648
42241		
98063		
26974		481757
50897		840018
40551		
16878		800530
74969		
65071		377482
48235		446987
45941		
41528		30915
72842		
92441		238143
10878		315446
10637		
49289		63515
12798		
35077		749436
22333		628916
77770		
94662		
80507		338714
4285		
5005		
2202		
63454		
