PRIMARY	RUNOFF	GENERAL 		
19508				
		4625		
63538		150301		
				
		52540		
		40		
		27		
		230845		
				
52586		208815		
31969				
84555				
84555		309673		
				
50432		179349		
20111				
70543				
		71632		
70543		250981		
				
		268676		
				
24753		123586		
14082				
8311				
6507				
4394				
1896				
1645				
61588				
		8337		
		4143		
		11		
61588		220244		
				
16646		66158		
11396				
28042				
28042		231591		
				
		209256		
				
29556		91328		
5097				
34653				
11111		61817		
6640				
3093				
2777				
23621				
58274		153145		
				
33212		102704		
14936				
48148				
24820		87769		
8207				
33027				
		22857		
81175		213330		
				
61517		183811		
12197				
73714				
18325		83123		
13998				
32323				
106037		266934		
				
		11825		
		274691		
				
		242674		
				
20830		80327		
9917				
30747				
		151		
30747		242763		
				
17047		106361		
7986				
5900				
5080				
4173				
2967				
2750				
2693				
856				
49452				
		17009		
49452		123370		
				
		148595		
				
		228		
		211059		
				
7596		63845		
7143				
4284				
19023				
		1663		
		1272		
		3		
19023		167570		
				
				
				
30024		118890		
9137				
39161				
24030		99804		
4395				
28425				
67586		218694		
				
		126480		
				
19898		146129		
19355				
18282				
6446				
2079				
66060				
28503		98787		
8162				
36665				
		115		
102725		245031		
				
19228		74859		
8158				
3272				
30658				
12459		61138		
3950				
16409				
		4312		
		3244		
47067		143553		
1013112		5117420		
				
1069936		2645743		
112080				
82426				
1264442				
528266		1092936		
284948				
59840				
45219				
918273				
		1607549		
		24850		
		15340		
		7397		
		4792		
		4443		
		4301		
		3647		
		47		
		18		
		18		
		13		
		6		
		4		
		2		
2182715		5411106		
				
49787		117270		
49787				
16828		46449		
16828				
66615		163719		
				
31255		86520		
31255				
23945		81673		
3283				
2393				
29621				
60876		168193		
				
63787		168304		
63787				
18676		73932		
18676				
		3		
82463		242239		
				
28095		131760		
13407				
9411				
50913				
9549		44707		
4455				
1741				
1697				
17442				
68355		176467		
				
44379		130782		
44379				
8758		46622		
5937				
14695				
59074		177404		
				
70049		198100		
70049				
		188		
70049		198288		
				
27634	39987	160898		
20034	31426			
15249				
4608				
3052				
2837				
1648				
1083				
76145	71413			
15130		78996		
15130				
91275	71413	239894		
				
22191		102770		
13228				
6959				
42378				
28819		92250		
28819				
71197		195020		
				
38851	41878	173512		
20957	33975			
11529				
5051				
1362				
782				
78532	75853			
78532	75853	173512		
				
56653		138062		
56653				
17075		66905		
17075				
73728		204967		
				
58447		163515		
58447				
58447		163515		
				
19505		92459		
14201				
33706				
11709	14256	70938		
7677	8724			
5040				
3051				
27477	22980			
61183	22980	163397		
				
34374		140294		
7556				
3229				
45159				
7234	15286	61771		
6538	7349			
4137				
3113				
2322				
1257				
24601	22635			
69760	22635	202065		
911554	192881	2468680		
				
558298		1489904		
558298				
297226		996516		
55159				
352385				
		68750		
		52		
		24		
		12		
910683		2555258		
				
7633		35919		
95				
7728				
710				
710				
		1502		
8438		37421		
8438		37421		
				
				
85732		94140		
22874				
108606				
21622		82723		
397				
177				
22196				
130802		176863		
				
88803		132290		
88803				
8020		46404		
7809				
1163				
16992				
146		3254		
146				
313		1310		
313				
106254		183258		
237056		360121		
				
198711		277228		
26411				
225122				
23033		79939		
7483				
3891				
34407				
280		7762		
280				
247		2957		
247				
507		2697		
507				
260563		370583		
				
38711		126231		
31582				
5356				
3168				
2471				
81288				
11407		102135		
11407				
		14365		
		4696		
92695		247427		
				
45148		137468		
18644				
7452				
6214				
77458				
13291		48749		
13291				
		13500		
90749		199717		
183444		447144		
				
				
127332		319953		
33150				
160482				
18340		112057		
6227				
24567				
		17429		
		91		
185049		449530		
				
68585		148170		
8035				
5203				
4232				
86055				
18		29253		
18				
201		6963		
201				
86274		184386		
				
79962		150666		
79962				
6632		25883		
6632				
128		10564		
86				
214				
86808		187113		
				
57684		116120		
16372				
74056				
18520		40479		
18520				
286		10028		
286				
92862		166627		
				
34000		63273		
34000				
319		6808		
319				
34319		81792		
				
56667		108360		
56667				
5689		38935		
4722				
3942				
14353				
193		6140		
137				
88				
418				
71438		153435		
				
53081		114456		
53081				
23542		65379		
23542				
76623		179835		
				
52728		149846		
10851				
10173				
5221				
78973				
8365		29575		
8365				
		4428		
226				
226				
87564		183849		
				
16162		98115		
11708				
9803				
4267				
3921				
1445				
47306				
25000		97825		
25				
25025				
207		6495		
207				
72538		202435		
				
62763		117553		
62763				
13566		55182		
13566				
191		4472		
147				
338				
76667		177207		
				
19691		109941		
16149				
7595				
7260				
1078				
51773				
25490		105290		
24531				
2838				
52859				
		1		
104632		215232		
				
32233		129108		
5257				
4880				
4555				
3701				
50626				
29015		96019		
29015				
79641		225127		
				
44913		121272		
44913				
14995		74046		
13510				
28505				
353		7387		
353				
73771		202705		
				
58294		152132		
58294				
33290		86281		
33290				
91584		238413		
				
34833		112369		
28840				
63673				
25446		98645		
1				
25447				
268		7949		
268				
		50		
89388		219013		
				
68621		136915		
68621				
21617		75948		
21617				
90238		212863		
				
54060		138299		
54060				
18021		66037		
18021				
295		8425		
295				
72376		212761		
				
33659		104583		
33659				
34427		85454		
34427				
219		8861		
219				
68305		198898		
				
60653		152868		
60653				
13683		57046		
11566				
25249				
258		11256		
258				
86160		221170		
				
48680		166166		
8363				
57043				
30999		67132		
30999				
88042		233298		
1529230		3696159		
				
				
420373		1778698		
142928				
66357				
54038				
37480				
21090				
2				
742268				
352202		1719478		
304757				
179682				
51813				
16317				
2				
904773				
5161		117914		
5161				
		87247		
		561		
		468		
		33		
		19		
		16		
		15		
		12		
		9		
		3		
1652202		3704473		
				
				
		1677729		
		1641486		
		129571		
		95762		
		683		
		415		
		297		
		15		
		12		
		8		
		5		
		1		
		3545984		
				
41982		99387		
41982				
6385		65558		
5783				
3482				
3469				
3320				
1505				
1194				
754				
25892				
67874		169707		
				
26659		91341		
26659				
29118		88803		
13576				
3762				
1415				
47871				
74530		189591		
				
38441				
27068				
12851				
2127				
80487				
8759		61267		
2212				
10971				
		10		
		1		
91458		185049		
				
				
		7914		
		184209		
				
36411		138732		
14712				
6991				
5493				
3549				
3531				
3444				
2972				
2407				
2161				
1737				
1562				
981				
85951				
7615		53167		
4253				
2905				
14773				
100724		202322		
				
32769		146899		
30502				
20679				
9805				
9372				
3964				
3352				
110443				
9937		60024		
6386				
16323				
		11218		
126766		236407		
				
61381		126027		
61381				
17479		56647		
10287				
27766				
89147		189309		
				
26364		86011		
2150				
737				
354				
29605				
11193		55213		
9325				
4728				
25246				
54851		146039		
				
16262		116759		
14273				
4715				
4697				
4324				
2523				
1469				
1410				
49673				
31685		76265		
31685				
81358		203264		
				
19141		118040		
17909				
16868				
1453				
55371				
37493		95353		
7628				
4679				
2399				
1685				
53884				
		69		
109255		225532		
795963		1931429		
				
217225		952116		
160981				
124494				
24664				
23005				
550369				
		161		
		99		
550369		1744481		
				
12316		104428		
70				
12386				
14048		100219		
6067				
3347				
3076				
77				
26615				
		4087		
		2092		
		76		
39001		210902		
				
13324		115839		
118				
13442				
18830		104319		
8155				
5365				
4749				
47				
37146				
		4356		
		2463		
		198		
50588		227175		
				
13107		122147		
338				
13445				
19469		111925		
13022				
9989				
1981				
690				
572				
464				
36				
46223				
		6258		
		426		
59668		240756		
				
42605		152588		
267				
42872				
11374		74300		
53				
11427				
		5499		
		132		
54299		232519		
				
47117		128363		
370				
47487				
7119		63160		
2261				
26				
9406				
		3622		
		94		
56893		195239		
260449		1106591		
				
197194		718215		
3926				
201120				
52715		371686		
8728				
6357				
177				
67977				
		25290		
		872		
269097		1116063		
				
34819		142281		
25047				
21161				
9296				
7892				
1768				
99983				
15399		44068		
15399				
115382		192886		
				
41458		130034		
31085				
72543				
10030		66588		
8086				
4579				
22695				
95238		205975		
				
32210		136246		
26695				
2664				
2581				
2099				
1934				
1873				
1633				
820				
72509				
16756		90193		
4709				
21465				
93974		233285		
				
31180		119575		
19099				
18365				
10294				
1596				
80534				
17146		74143		
4358				
21504				
102038		203383		
406632		835529		
				
163483		587175		
146702				
10256				
8278				
328719				
25695		220971		
19426				
15731				
13481				
7857				
82190				
410909		837692		
				
		215930		
				
		229655		
				
22048		112627		
10674				
7167				
2595				
42484				
		2029		
		1334		
42484		255930		
				
		218507		
				
27552		44034		
23322				
16332				
67206				
67206		195053		
				
31255		119164		
4789				
4070				
3454				
3438				
1880				
48886				
		225		
		22		
48886		239223		
158576		1354298		
				
				
206986		755706		
124864				
7861				
6885				
2850				
2829				
352275				
229433		600052		
225259				
28530				
20561				
17874				
521657				
		338		
873932		1356096		
				
		4578		
		200176		
				
14678		83705		
5171				
2500				
1914				
24263				
		1876		
		645		
24263		129604		
				
10396	19657	108963		
7570	10549			
