PRIMARY	RUNOFF	GENERAL																																																																																																																																																			
272		52695																																																																																																																																																			
272																																																																																																																																																					
57242		255577																																																																																																																																																			
26450		108868																																																																																																																																																			
26450																																																																																																																																																					
11990		59066																																																																																																																																																			
5107																																																																																																																																																					
17097																																																																																																																																																					
294		7503																																																																																																																																																			
294																																																																																																																																																					
43841		175437																																																																																																																																																			
36039		183363																																																																																																																																																			
26686																																																																																																																																																					
62725																																																																																																																																																					
20216		109963																																																																																																																																																			
9177																																																																																																																																																					
5093																																																																																																																																																					
34486																																																																																																																																																					
385		10443																																																																																																																																																			
385																																																																																																																																																					
97596		303769																																																																																																																																																			
519133		1871445																																																																																																																																																			
331720		1505372																																																																																																																																																			
331720																																																																																																																																																					
173540		404507																																																																																																																																																			
173540																																																																																																																																																					
2756		51798																																																																																																																																																			
2756																																																																																																																																																					
508016		1961677																																																																																																																																																			
1027149		3833122																																																																																																																																																			
		243944																																																																																																																																																			
11590		115655																																																																																																																																																			
5156																																																																																																																																																					
16746																																																																																																																																																					
		4																																																																																																																																																			
16746		276493																																																																																																																																																			
		7016																																																																																																																																																			
		270803																																																																																																																																																			
																																																																																																																																																					
16746		791240																																																																																																																																																			
231037		580973																																																																																																																																																			
47010																																																																																																																																																					
278047																																																																																																																																																					
37254		458036																																																																																																																																																			
10709																																																																																																																																																					
6078																																																																																																																																																					
54041																																																																																																																																																					
		212																																																																																																																																																			
		128																																																																																																																																																			
332088		1039349																																																																																																																																																			
348834		1830589																																																																																																																																																			
92371		189366																																																																																																																																																			
92371																																																																																																																																																					
48710		79970																																																																																																																																																			
48710																																																																																																																																																					
2365		13635																																																																																																																																																			
1966																																																																																																																																																					
4331																																																																																																																																																					
145412		282971																																																																																																																																																			
79923		182119																																																																																																																																																			
79923																																																																																																																																																					
20760		90310																																																																																																																																																			
14246																																																																																																																																																					
11897																																																																																																																																																					
46903																																																																																																																																																					
126826		272429																																																																																																																																																			
35595		177738																																																																																																																																																			
32728																																																																																																																																																					
21469																																																																																																																																																					
1693																																																																																																																																																					
91485																																																																																																																																																					
51155		100025																																																																																																																																																			
51155																																																																																																																																																					
634		9310																																																																																																																																																			
634																																																																																																																																																					
143274		287073																																																																																																																																																			
105015		221926																																																																																																																																																			
105015																																																																																																																																																					
58036		117443																																																																																																																																																			
58036																																																																																																																																																					
163051		339369																																																																																																																																																			
63291		138004																																																																																																																																																			
11																																																																																																																																																					
63302																																																																																																																																																					
26674		45120																																																																																																																																																			
26674																																																																																																																																																					
1041		6593																																																																																																																																																			
1041																																																																																																																																																					
215		3670																																																																																																																																																			
215																																																																																																																																																					
91232		193387																																																																																																																																																			
99970		226423																																																																																																																																																			
19039																																																																																																																																																					
119009																																																																																																																																																					
43248		85244																																																																																																																																																			
43248																																																																																																																																																					
162257		311667																																																																																																																																																			
71268		166831																																																																																																																																																			
71268																																																																																																																																																					
23900		52446																																																																																																																																																			
23900																																																																																																																																																					
95168		219277																																																																																																																																																			
94564		224017																																																																																																																																																			
94564																																																																																																																																																					
8814		31074																																																																																																																																																			
8814																																																																																																																																																					
266		9527																																																																																																																																																			
266																																																																																																																																																					
1414		5446																																																																																																																																																			
1414																																																																																																																																																					
105058		270064																																																																																																																																																			
105211		215630																																																																																																																																																			
105211																																																																																																																																																					
11813		31278																																																																																																																																																			
11813																																																																																																																																																					
410		8131																																																																																																																																																			
410																																																																																																																																																					
117434		255039																																																																																																																																																			
75997		182750																																																																																																																																																			
75997																																																																																																																																																					
45615		95349																																																																																																																																																			
45615																																																																																																																																																					
121612		278099																																																																																																																																																			
65046		163582																																																																																																																																																			
65046																																																																																																																																																					
1667		103587																																																																																																																																																			
1667																																																																																																																																																					
66713		267169																																																																																																																																																			
63323		171852																																																																																																																																																			
17107																																																																																																																																																					
5678																																																																																																																																																					
5																																																																																																																																																					
86113																																																																																																																																																					
13967		52593																																																																																																																																																			
11214																																																																																																																																																					
25181																																																																																																																																																					
1072		23038																																																																																																																																																			
480																																																																																																																																																					
1552																																																																																																																																																					
390		5116																																																																																																																																																			
390																																																																																																																																																					
113236		252599																																																																																																																																																			
59726		144605																																																																																																																																																			
59726																																																																																																																																																					
19606		48439																																																																																																																																																			
19606																																																																																																																																																					
389		8877																																																																																																																																																			
389																																																																																																																																																					
79721		201921																																																																																																																																																			
81911		182712																																																																																																																																																			
81911																																																																																																																																																					
33732		69564																																																																																																																																																			
33732																																																																																																																																																					
873		9588																																																																																																																																																			
873																																																																																																																																																					
		24																																																																																																																																																			
116516		261888																																																																																																																																																			
58531		154385																																																																																																																																																			
58531																																																																																																																																																					
