PRIMARY	RUNOFF	GENERAL 
22		
16910		
		261
38225		306358
20401		176904
13035		
37		
33473		
10666		132136
150		
10816		
		4599
		521
44289		314160
13144		185458
47		
13191		
9247		120746
5041		
2086		
1885		
36		
18295		
		197
31486		306401
22663		159430
160		
22823		
8052		99601
43		
8095		
		180
30918		266617
164500		1483165
90785		941665
1074		
91859		
24964		560006
24390		
21062		
256		
70672		
		1247
162531		1502918
67978		214549
67978		
13580		34771
13580		
81558		262027
34278		155532
32966		
67244		
32395		142013
32395		
99639		307308
27431		202541
27431		
39091		142307
12338		
51429		
78860		358858
39494		177617
39494		
15448		90706
15448		
54942		280109
314999		1208302
214911		727121
214911		
68106		441399
30699		
98805		
313716		1210690
		5
		276786
61007		143379
43100		
104107		
104107		302315
32570		139527
9080		
713		
42363		
42363		343370
30189		190210
2831		
2427		
35447		
35447		301759
		210468
12647		111378
11906		
24553		
24553		315142
206470		1749840
168127		953816
27170		
195297		
316992		847005
209827		
34363		
20403		
17340		
13451		
7528		
619904		
815201		1800821
37883		98839
14254		
52137		
52137		288007
17506	92921	31318
13794	70705	
12087		
9282		
8979		
5796		
1748		
69192	163626	
69192	163626	66882
14500	43012	44501
14072	34405	
12693		
41265	77417	
36936	93093	44151
17621	57078	
16137		
6065		
76759	150171	
118024	227588	92572
3203		
31022		
31022		
		312416
		286299
270375	391214	1046176
24324		205629
15706		
6040		
5833		
2726		
753		
55382		
21154		168930
14248		
35402		
90784		374559
27873		226274
27873		
17741		109268
17741		
45614		335542
136398		710101
56304		444300
19		
56323		
69932		279510
11795		
81727		
		620
138050		724430
28566		177065
21892		
11904		
8753		
71115		
33627		174213
25624		
15700		
1277		
1186		
77414		
		329
148529		360480
60632		198578
60632		
15451		68561
15451		
		408
76083		276333
86598		203711
10614		
97212		
10346		87971
8576		
3953		
3721		
26596		
		766
123808		292448
78008		258704
48885		
1737		
1429		
1429		
1046		
132534		
4912		38739
3200		
2748		48
1722		
12582		
		453
145116		301431
90513		253854
19067		
109580		
12382		82631
8126		
7619		
28127		
		377
137707		344691
51635		190926
5686		
4895		
3433		
857		
66506		
25967		128207
21629		
5800		
4162		
1222		
58780		
		342
125286		330535
98027		227379
7322		8
105349		
10588		53147
3875		13
14463		
		259
119812		286020
104108		229740
11052		188
3391		28
118551		
8683		66351
5763		
4533		
2843		
1375		
23197		
		317
141748		306014
1018089		2497952
33513		215696
8765		
34		
42312		
3659		80067
42		
3701		
21		
21		
12		
12		
		336
46046		296099
30017		234369
360		
30377		
4		
4		
390		
390		
3		
3		
		3631
30774		238000
37041		227619
284		
37325		
3		
3		
548		
548		
3		
3		
		3488
37879		231107
38642		203032
381		
39023		
4087		75571
41		
4128		
9		
9		
1		
1		
		337
43161		298788
40248		225947
521		
40769		
6		
6		
618		
114		
732		
9		
9		
		2960
41516		228907
36646		226216
478		
37124		
5160		94845
49		
5209		
7		
7		
15		
15		
		251
42355		321312
56210		212304
805		
57015		
4825		67978
95		
4920		
16		
16		
44		
44		
		400
61995		280682
35189		185530
497		
