PRIMARY VOTES	RUNOFF VOTES	GENERAL VOTES 		
2740				
2695				
14272				
		197		
75941		191837		
57240		144725		
57240				
8137		80752		
6050				
5374				
19561				
		336		
		227		
76801		226040		
33289		94704		
33289				
23933		91930		
4718				
28651				
		140		
61940		190536		
				
69790		144639		
4786				
2460				
77036				
6293		55860		
5195				
11488				
		207		
88524		206809		
				
60556		136722		
3834				
1950		16		
66340				
22648		87859		
22648				
		102		
		398		
88988		225097		
638618		1703037		
				
43225		167612		
406				
43631				
		3498		
43631		171110		
				
39852		169640		
288				
40140				
		3105		
40140		172745		
				
39152		139104		
402				
39554				
12731		81638		
85				
12816				
		204		
52370		220946		
				
44606		184158		
357				
44963				
		3940		
44963		188098		
				
57014		182100		
13070				
140				
70224				
		3159		
		1		
70224		185260		
				
36575		149638		
28915				
4293				
1527				
691				
36				
72037				
18227		111989		
143				
18370				
		10373		
		219		
90407		272219		
				
45292		142133		
578				
45870				
		2413		
45870		144546		
				
51077		200644		
499				
51576				
		2707		
51576		203351		
				
42716		140413		
345				
43061				
9567		114971		
9049				
6973				
3917				
69				
29575				
		157		
				
72636		255541		
511817		1813816		
				
				
49540		130414		
21497				
71037				
31104		113263		
31104				
102141		250131		
				
54416		135568		
54416				
19957		70851		
19957				
74373		213072		
				
39706		125754		
29422				
69128				
20378		84720		
20378				
89506		217165		
				
34399		123962		
23844				
7408				
65651				
23496		85777		
23496				
89147		219423		
				
46065		148182		
46065				
13557		69222		
12859				
26416				
72481		222138		
				
37731		116801		
15283				
53014				
19894		84391		
19894				
72908		208976		
				
38046		119564		
9934				
47980				
25048		92083		
25048				
		4369		
73028		223685		
				
35422		132739		
23358				
58780				
13535		102269		
11921				
3103				
3054				
31613				
90393		243125		
				
40877		136342		
40877				
30678		81470		
30678				
71555		225757		
				
55272		157069		
55272				
25820		67143		
25820				
				
81092		228692		
				
42008		140435		
21254				
63262				
13441		101681		
12479				
10371				
2906				
39197				
		1411		
102459		251238		
				
45162		134346		
12994				
58156				
18793		64716		
18793				
		5039		
76949		206660		
				
42005		132710		
14850				
56855				
6696		27234		
6696				
		3466		
63551		166947		
				
26387		165272		
23996				
22866				
831				
74080				
12611				
		30		
86691		212468		
				
1146274		3089477		
				
				
19983		122851		
19983				
12748		103536		
10870				
23618				
		308		
43601		226695		
				
18236		137778		
18236				
12361		95565		
2622				
14983				
461		12319		
461				
		186		
33680		245848		
				
		224		
		269585		
				
		229		
		241637		
				
		353		
		236010		
				
19557		133328		
7125				
26682				
10070		90926		
10070				
467		12457		
467				
		135		
37219		236846		
				
		334		
		240835		
				
		11450		
		185		
		266083		
				
114500		1963539		
				
				
56550		102622		
56550				
9741		43713		
5022				
14763				
71313		151111		
				
41618		100688		
1860				
43478				
		36465		
43478		148646		
				
85674		117771		
7258				
92932				
7738	4925	47744		
5820	4462			
2490				
16048	9387			
		3890		
108980	9387	170946		
				
				
54268		108776		
46133				
4955				
1129				
904				
107389				
6355		37869		
5063				
11418				
		3684		
		857		
118807		155576		
				
342578	9387	626279		
				
				
69650		119315		
69650				
4196		35273		
3659				
2833				
10688				
465		8906		
465				
80803		163494		
				
55322		148191		
55322				
54557		75384		
54557				
720		7542		
720				
110599		231117		
				
71030		130940		
9786				
8580				
89396				
15987		52021		
11988				
27975				
774		8593		
774				
		66		
118145		191620		
				
65404		120014		
22131				
87535				
26831		46464		
26831				
567		9793		
503				
1070				
		15		
115436		176286		
				
44296		79256		
2988				
2687				
2584				
1438				
53993				
24615		69071		
5020				
4797				
1453				
35885				
813		5308		
813				
90691		153635		
				
56789		124616		
8745				
4364				
4244				
74142				
18109		55157		
9706				
7241				
35056				
591		7197		
591				
109789		186970		
				
55505		104054		
33498				
89003				
8671		47282		
7457				
16128				
764		12584		
764				
		32		
		3		
		2		
105895		163957		
				
66511		106124		
66511				
28303		38721		
28303				
		6821		
368		3799		
368				
462		3759		
462				
95644		159224		
				
827002		1426303		
				
43766		203871		
38591				
37965				
9011				
2290				
131623				
42588		148690		
28580				
71168				
202791		367963		
202791		367963		
				
61171		123219		
5357				
4110				
70638				
23336		55838		
23336				
804				
804				
2502				
545				
297				
3344				
98122		179057		
				
16571		83872		
3764				
20335				
25169		78157		
21959				
47128				
67		9021		
43				
110				
418				
108				
526				
10				
10				
20				
1101				
643				
1744				
		459		
69863		171509		
				
66586		139440		
30996				
97582				
19936		45524		
19936				
133				
133				
527				
470				
997				
118648		184964		
				
286633		535530		
				
				
12966		45643		
2106				
15072				
6083		30413		
5045				
11128				
		2617		
		1626		
26200		80299		
				
8206		52016		
6804				
3225				
3164				
21399				
		11792		
21399		186210		
				
13204		52644		
2511				
15715				
		1637		
		1566		
		1344		
15715		145719		
				
10398		63466		
8077				
5393				
523				
24391				
16269		59844		
1532				
1498				
19299				
		4119		
		3352		
43690		130781		
				
107004		543009		
				
29246		125508		
24342				
4999				
996				
83				
40				
59706				
16956		116769		
113				
108				
92				
10				
4				
17283				
				
		459		
76989		242736		
				
21269		130700		
144				
79				
39				
32				
6				
21569				
27285		106871		
15196				
10327				
2489				
103				
64				
55464				
		613		
77033		238184		
				
154022		480920		
				
				
18504		93315		
3871				
3303				
25678				
6405		64073		
1337				
863				
767				
9372				
		1784		
		1134		
		1103		
		634		
		449		
35050		162492		
				
17921		92786		
3919				
3247				
25087				
359		63727		
359				
		2373		
		1647		
		742		
25446		161275		
				
14294		108875		
3037				
17331				
11455		66026		
2554				
14009				
		663		
		612		
		501		
		471		
31340		177148		
				
15908		100471		
10643				
26551				
12425		82537		
1705				
700				
14830				
		3095		
41381		186103		
				
14810		118826		
14810				
8122		54415		
8122				
		1608		
22932		174849		
				
15972		104678		
15972				
9529		81808		
1031				
10560				
		2435		
26532		188921		
				
11358		72190		
11358				
4816		46891		
4816				
		1376		
16174		120457		
				
15900		104287		
13308				
29208				
8768		68232		
8768				
		3478		
37976		175997		
				
25641		61510		
25641				
1973		15141		
1973				
		1192		
		1022		
		653		
27614		79518		
				
12907		82498		
12907				
4474		36246		
4474				
		1715		
17381		120459		
				
24490		95734		
1291				
697				
360				
26838				
1490		14154		
1490				
		1237		
		998		
28328		112123		
				
15697		109455		
7828				
23525				
6949		65477		
1122				
1078				
9149				
32674		174932		
				
15603		90430		
10089				
7890				
2668				
36250				
6617		54168		
6617				
		1330		
		890		
		567		
		531		
		450		
42867		148366		
				
385695		1982640		
				
				
				
29133		105474		
29133				
13300		74558		
7054				
20354				
49487		180032		
				
24598		95209		
24598				
21751		52499		
21751				
		69		
46349		147777		
				
50709		113249		
7207				
57916				
15690		70775		
15690				
		52		
				
73606		184076		
169442		511885		
				
				
				
10283		77062		
6482				
16765				
		108		
16765		172865		
				
		58		
		139330		
				
3439		63219		
3428				
6867				
		74		
6867		164375		
				
7770		83772		
5791				
13561				
9083		67811		
4687				
13770				
664		9879		
333				
997				
		179		
28328		170099		
				
8119		75712		
2023				
10142				
		3870		
		239		
10142		79821		
				
		595		
		55963		
				
7627		47142		
1796				
9423				
		108		
9423		63812		
				
		71		
		83999		
				
		183		
		92569		
				
		205		
		101881		
				
		546		
		107363		
				
		95		
		113429		
				
23865		63437		
21607				
3971				
599				
50042				
		151		
50042		78353		
				
		117		
		57204		
				
10346		53128		
1004				
11350				
		42		
11350		56563		
				
		733		
		100391		
				
		123		
		174054		
				
780		3423		
682				
1462				
		4294		
		144		
